Month Current Year Previous Year ,current_year,last_yr,change
Dec-17,"10,886","11 ,502",-5.4
Jan-18,"11,526","12,509",-7.9
Feb-18,"13,662","11 ,398",1 9.9
Mar-18,"10,833","12,598",-14
Apr-18,"9,763","10,961",-1 0.9
May-18,"9,658","10,789",-1 0.5
Jun-18,"9,597.20","10,797.40",-1 1 .1
Jul-18,"6,594.90","11,060.10",-40.4
Aug-18,"8,008.60","11 ,096.5",-27.8
Sep-18,"9,611.30","11,462.70",-1 6.2
Oct-18,"10,820.90",,-5.4
Nov-18,"10,847.80","12,1 21 .9",-1 0.5
Dec-18,"10,083.90","10,886.50",-7.4
Jan-19,"10,91 6.6","11,526.00",-5.3
Feb-19,"9,839.90","13,662.10",-28
Mar-19,"10,867.40","10,833.50",0.3
Apr-19,"9,789.10","9,762.60",0.3
May-19,"9,360.30","9,657.50",-3.1
