Month Current Year Previous Year ,current_year,last_year,change
Dec-17,"1 22,146.1","155,078.70",-21 .2
Jan-18,"1 34,967.9","182,499.70",-26
Feb-18,"1 22,003.8","157,1 66.4",-22.4
Mar-18,"1 30,294.4","156,997.30",-1 7.0
Apr-18,"91,550.90","123,263.50",-25.7
May-18,"64,643.00","100,482.70",-35.7
Jun-18,"45,901 .3","58,307.40",-21 .3
Jul-18,"27,996.40","53,079.70",-47.3
Aug-18,"43,887.20","59,804.30",-26.6
Sep-18,"54,175.90","85,811 .6",-36.9
Oct-18,"90,290.70","77,122.60",17.1
Nov-18,,"114,312.80",
